,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
432,Kathmandu,Baneshwor Hight,East,4,4,1,850.0,13.0,9582.72,252000000.0
434,Kathmandu,Rudreshwor,South,6,5,1,22.0,13.0,2737.92,77500000.0
436,Kathmandu,Dhapasi,East,8-12,8-10,15,850.0,,8213.76,230000000.0
438,Kathmandu,Bijeshwori,East,1,1,1,22.0,,64.17,33000000.0
440,Kathmandu,Muhanpokhari,East,4,5,7,170.0,13.0,30117.12,52500000.0
442,Kathmandu,"Kadaghari,Birendra Chowk",East,6,3,11,22.0,6.0,342.24,21000000.0
444,Kathmandu,Jarankhu,East,6,3,11,22.0,,23529.0,28500000.0
446,Kathmandu,Hattigauda,South West,5,4,9,425.0,20.0,342.24,105000000.0
448,Kathmandu,Thankot,East,4,3,7,22.0,,1026.72,21000000.0
450,Kathmandu,Bhangal,West,7,5,12,170.0,13.0,342.24,32000000.0
452,Kathmandu,Mid Baneshwor,East,1,1,1,22.0,,14973.0,38000000.0
454,Kathmandu,Hepali Height,East,4,4,9,425.0,,2395.68,60300000.0
456,Kathmandu,"Lasuntar,Kapan",North East,5,3,9,85.0,14.0,1026.72,25000000.0
458,Kathmandu,Budhanilkantha,North,5,5,1,170.0,16.0,128.34,60000000.0
460,Kathmandu,Gahanapokhari,North East,6,6,1,425.0,14.0,213.9,120000000.0
462,Kathmandu,"Puja Pratisthan Marg,Purano Baneshwor",East,8-12,8-10,15,22.0,,342.24,28000000.0
464,Kathmandu,Maitidevi,South East,5,3,2,170.0,13.0,32085.0,24000000.0
466,Kathmandu,Mahadevsthan,East,7,5,8,85.0,13.0,32085.0,26000000.0
468,Kathmandu,Grande Hospital Tokha,South,6,4,9,170.0,,21.39,34000000.0
470,Kathmandu,Balaju,South East,3,2,1,22.0,,21.39,18000000.0
472,Kathmandu,Rudreshwor,South,4,5,1,170.0,14.0,21.39,47500000.0
474,Kathmandu,Muhan Pokhari,South West,6,5,1,85.0,14.0,106.95,37500000.0
476,Kathmandu,Near Narayanthaan Temple,North,5,4,1,170.0,14.0,278.07,120000000.0
478,Kathmandu,"Kuleshore Awas Area, Link Road...",South,1,1,1,425.0,16.0,32855.04,60000000.0
480,Kathmandu,Teku,East,7,4,13+,170.0,10.0,54758.4,77500000.0
482,Kathmandu,Tangal,North,5,3,9,170.0,16.0,21.39,65000000.0
484,Kathmandu,Manamaiju,South East,4,3,7,170.0,13.0,21.39,73500000.0
486,Kathmandu,Basundhara,East,5,5,14,425.0,22.0,3422.4,100000000.0
488,Kathmandu,1500Mtr From Deubachowk,South,5,3,8,170.0,13.0,342.24,34000000.0
490,Kathmandu,Kalanki,East,1,3,13+,22.0,10.0,1368.96,33500000.0
492,Kathmandu,Hattigauda,West,4,5,1,425.0,30.0,2290.14,77000000.0
494,Kathmandu,Thankot,South,1,4,11,85.0,13.0,1368.96,25000000.0
496,Kathmandu,Basantapur,East,8-12,8-10,1,22.0,,14973.0,16000000.0
498,Kathmandu,Sitapaila,South East,5,3,5,425.0,12.0,3080.16,60000000.0
500,Kathmandu,"Ringroad, Dhungedhara",South West,7,6,14,425.0,10.0,2224.56,25000000.0
502,Kathmandu,Dhapasi,East,3,2,1,85.0,,21.39,30000000.0
504,Kathmandu,"Baluwakhani Chowk, Kapan",East,6,4,12,85.0,12.0,10951.68,39000000.0
506,Kathmandu,Tarkari Bazar,East,4,2,1,85.0,16.0,342.24,13500000.0
508,Kathmandu,Sangla,South East,3,4,9,85.0,12.0,14973.0,18500000.0
510,Kathmandu,Swayambhu,East,1,1,1,22.0,,21390.0,15000000.0
512,Kathmandu,"Bansbari, Dakshinkali",East,2,1,4,22.0,13.0,1711.2,10000000.0
514,Kathmandu,Tarksewor,North East,8-12,5,15,85.0,13.0,1368.96,38000000.0
516,Kathmandu,Tarkeshwor,East,6,2,10,85.0,20.0,36598.29,27000000.0
518,Kathmandu,Rudreshor Chowk,East,5,3,15,85.0,13.0,2053.44,35000000.0
520,Kathmandu,Kotesower,East,1,1,1,22.0,,32085.0,43500000.0
522,Kathmandu,New Baneshwor,East,6,3,1,85.0,,2866.26,87000000.0
524,Kathmandu,Kotesore,East,1,1,1,22.0,,342.24,43500000.0
526,Kathmandu,Khusibu,East,5,3,5,85.0,13.0,21.39,34000000.0
528,Kathmandu,"Narayantar, Shiva Chowk, Aryal Goan",East,5,3,11,85.0,13.0,1026.72,24500000.0
530,Kathmandu,Narayanthan,East,2,1,1,85.0,13.0,23529.0,25000000.0
532,Kathmandu,In Front Of Padma Colony,East,8-12,3,15,170.0,13.0,342.24,36800000.0
534,Kathmandu,Sesmati,North East,8-12,6,14,22.0,,23529.0,16200000.0
536,Kathmandu,Jarankhu,East,5,6,13+,425.0,20.0,1711.2,26400000.0
538,Kathmandu,Near Deuba Niwas,South,5,5,1,425.0,,149.73,70000000.0
540,Kathmandu,Inside Ringroad,North,5,4,1,425.0,,213.9,75000000.0
542,Kathmandu,150 Mtr From Budhanilkantha Highway,East,5,4,1,850.0,13.0,620.31,159500000.0
544,Kathmandu,Kapan,East,6,4,9,85.0,13.0,21.39,35000000.0
546,Kathmandu,Balaju Lolang Hight Tarkari Bazar,South,4,2,6,22.0,16.0,23529.0,13500000.0
548,Kathmandu,Banasthali,South West,3,2,2,85.0,10.0,21.39,30000000.0
550,Kathmandu,"Bhangal,Sundar Basti",South,1,1,1,22.0,10.0,2395.68,35000000.0
552,Kathmandu,Bhangal,South,3,3,1,22.0,10.0,342.24,30000000.0
554,Kathmandu,Near Karuna Hospital,South,7,5,1,170.0,13.0,21.39,42000000.0
556,Kathmandu,Guheshwori Town Planning,North,5,4,15,85.0,13.0,14973.0,28000000.0
558,Kathmandu,Baneshwor,East,8+,4,1,85.0,,21.39,89900000.0
560,Kathmandu,Baluwakhani,West,6,3,11,85.0,20.0,1368.96,27500000.0
562,Kathmandu,Inedrayani,East,2,1,3,85.0,20.0,1026.72,11500000.0
564,Kathmandu,Khatris Store (Rastiya Chowk),East,2,1,1,85.0,14.0,21.39,15500000.0
566,Kathmandu,Thankot,East,6,3,10,85.0,,342.24,17000000.0
568,Kathmandu,"Ganesh Chock, Budhanilkantha",East,5,5,1,170.0,20.0,21.39,80000000.0
570,Kathmandu,"Maharajgunj, Kathmandu",East,4,4,1,425.0,10.0,235.29,105000000.0
572,Kathmandu,Dhapasi Hight,East,5,5,1,425.0,13.0,342.24,135000000.0
574,Kathmandu,"Deuba Chowk, Budhanilkantha",East,5,5,1,425.0,20.0,171.12,79000000.0
